school,city,county,area,city_population,enrollment,classification,private,naming_type,mascot,conference,status
Tomás Mendoza,Telfair,Rimrock,Juniper Highlands,65000,1304,3A,False,namesake,Condors,High Basin League,new
Ruby Cross,Vesper,Rimrock,Juniper Highlands,60000,1062,3A,False,namesake,Bison,High Basin League,new
Vesper,Vesper,Rimrock,Juniper Highlands,60000,1077,3A,False,city flagship,Bison,High Basin League,new
Calder,Calder,Rimrock,Juniper Highlands,90000,1583,4A,False,city flagship,Engineers,Juniper Metro Conference,new
Calder Aviation and Engineering Academy,Calder,Rimrock,Juniper Highlands,90000,1254,3A,False,magnet/technical,Falcons,Juniper Metro Conference,new
Calder School of Science and Industry,Calder,Rimrock,Juniper Highlands,90000,1816,5A,False,magnet/technical,Steelheads,Juniper Metro Conference,new
Nicolás Quiñones,Calder,Rimrock,Juniper Highlands,90000,1827,5A,False,namesake,Panthers,Juniper Metro Conference,new
Carroway,Carroway,Rimrock,Juniper Highlands,75000,969,2A,False,city flagship,Mavericks,Juniper Metro Conference,new
Carroway Public Service,Carroway,Rimrock,Juniper Highlands,75000,1355,3A,False,magnet/technical,Navigators,Juniper Metro Conference,new
Frances Gaines,Carroway,Rimrock,Juniper Highlands,75000,1547,4A,False,namesake,Lancers,Juniper Metro Conference,new
Katherine Whitaker,Carroway,Rimrock,Juniper Highlands,75000,1529,4A,False,namesake,Lancers,Juniper Metro Conference,new
Navrang,Navrang,Rimrock,Juniper Highlands,70000,1478,4A,False,city flagship,Marlins,Juniper Metro Conference,new
Altamonte,Altamonte,Juniper,Juniper Highlands,150000,2175,5A,False,city flagship,Ospreys,Plateau League,new
Altamonte Civic Leadership Academy,Altamonte,Juniper,Juniper Highlands,150000,1889,5A,False,magnet/technical,Mustangs,Plateau League,new
Altamonte School of Commerce,Altamonte,Juniper,Juniper Highlands,150000,1618,4A,False,magnet/technical,Marlins,Plateau League,new
Daniel Langston,Altamonte,Juniper,Juniper Highlands,150000,1573,4A,False,namesake,Steelheads,Plateau League,new
Itziar Elorriaga,Altamonte,Juniper,Juniper Highlands,150000,1961,5A,False,namesake,Eagles,Plateau League,new
Thelma Stokes,Altamonte,Juniper,Juniper Highlands,150000,1584,4A,False,namesake,Ravens,Plateau League,new
Cornerstone Christian,Clear Springs,Rimrock,Juniper Highlands,14833,534,1A,False,namesake,Navigators,Rim Country Conference,new
Dry Lake,Three Saints,Rimrock,Juniper Highlands,50000,1307,3A,False,district/neighborhood,Wolves,Rim Country Conference,new
Isabel Montalvo,Three Saints,Rimrock,Juniper Highlands,50000,1124,3A,False,namesake,Spartans,Rim Country Conference,new
Three Saints,Three Saints,Rimrock,Juniper Highlands,50000,1168,3A,False,city flagship,Pilots,Rim Country Conference,new
Salvador Figueroa,Vesper,Rimrock,Juniper Highlands,60000,1192,3A,False,namesake,Firebirds,Rim Country Conference,new
Vesper Polytechnic Institute,Vesper,Rimrock,Juniper Highlands,60000,989,2A,False,magnet/technical,Stags,Rim Country Conference,new
St. Raphael College Prep,Elk Bluff,Windrow,North Range,14749,531,1A,True,private/independent,Spartans,Sierra Basin Conference,new
Nerea Urrutia,Galena,Galena,North Range,16700,601,1A,False,namesake,Wolves,Sierra Basin Conference,new
Leire Zubieta,Fort Lassiter,Lodestone,North Range,16932,610,1A,False,namesake,Trojans,Sierra Basin Conference,new
St. Dominic Academy,Vonjo City,Windrow,North Range,19058,686,2A,True,private/independent,Timberwolves,Sierra Basin Conference,new
Emigrant Trail,Rostova Junction,Emigrant,Sage Plains,120000,1247,3A,False,district/neighborhood,Vikings,Crossroads Athletic Conference,new
Mikel Echevarria,Rostova Junction,Emigrant,Sage Plains,120000,1567,4A,False,namesake,Miners,Crossroads Athletic Conference,new
Mikel Garmendia,Rostova Junction,Emigrant,Sage Plains,120000,1399,3A,False,namesake,Comets,Crossroads Athletic Conference,new
Rostova Junction,Rostova Junction,Emigrant,Sage Plains,120000,1561,4A,False,city flagship,Pelicans,Crossroads Athletic Conference,new
Rostova Junction Technical Arts Academy,Rostova Junction,Emigrant,Sage Plains,120000,1747,4A,False,magnet/technical,Trojans,Crossroads Athletic Conference,new
St. Francis Xavier Preparatory,Rostova Junction,Emigrant,Sage Plains,120000,1119,3A,True,private/independent,Railers,Crossroads Athletic Conference,new
Aurelia,Aurelia,Emigrant,Sage Plains,80000,1424,4A,False,city flagship,Stags,Emigrant League,new
Aurelia Classical Academy,Aurelia,Emigrant,Sage Plains,80000,1352,3A,False,magnet/technical,Navigators,Emigrant League,new
Elena Petrenko,Aurelia,Emigrant,Sage Plains,80000,1560,4A,False,namesake,Steelheads,Emigrant League,new
Ruth Bader Ginsburg,Aurelia,Emigrant,Sage Plains,80000,1424,4A,False,namesake,Wolves,Emigrant League,new
Cordero Wells,Cordero Wells,Stagewater,Sage Plains,18000,939,2A,False,city flagship,Pilots,Emigrant League,new
St. Isidore College Prep,Cordero Wells,Stagewater,Sage Plains,18000,357,1A,True,private/independent,Firebirds,Emigrant League,new
Harrow,Harrow,Emigrant,Sage Plains,45000,1080,3A,False,city flagship,Spartans,Emigrant League,new
Harrow Design,Harrow,Emigrant,Sage Plains,45000,1287,3A,False,magnet/technical,Grizzlies,Emigrant League,new
St. Brigid,Harrow,Emigrant,Sage Plains,45000,873,2A,True,private/independent,Knights,Emigrant League,new
Agate,Agate,Emigrant,Sage Plains,5000,360,1A,False,city flagship,Firebirds,Frontier Metro Conference,new
Diamante,Diamante,Emigrant,Sage Plains,8000,576,1A,False,city flagship,Wolves,Frontier Metro Conference,new
Dovetail,Dovetail,Stagewater,Sage Plains,12000,467,1A,False,city flagship,Sentinels,Frontier Metro Conference,new
Marian Browne,Dovetail,Stagewater,Sage Plains,12000,397,1A,False,namesake,Miners,Frontier Metro Conference,new
Alina Belov,Rilland,Emigrant,Sage Plains,15000,655,2A,False,namesake,Engineers,Frontier Metro Conference,new
Rilland,Rilland,Emigrant,Sage Plains,15000,425,1A,False,city flagship,Condors,Frontier Metro Conference,new
San Vito,San Vito,Emigrant,Sage Plains,10000,720,2A,False,city flagship,Stags,Frontier Metro Conference,new
Garazi Aramburu,Lieksa,Emigrant,Sage Plains,13134,473,1A,False,namesake,Wolves,Frontier Metro Conference,new
Minnesota City,Minnesota City,Emigrant,Sage Plains,6000,432,1A,False,city flagship,Vikings,Frontier Metro Conference,new
Frontier High,Harriman,Emigrant,Sage Plains,450000,2854,7A,False,district/neighborhood,Railers,High Plains League,new
Harriman,Harriman,Emigrant,Sage Plains,450000,3792,7A,False,city flagship,Lancers,High Plains League,new
Harriman North,Harriman,Emigrant,Sage Plains,450000,4219,7A,False,magnet/technical,Eagles,High Plains League,new
John F. Kennedy,Harriman,Emigrant,Sage Plains,450000,4072,7A,False,magnet/technical,Pelicans,High Plains League,new
Homestead,Harriman,Emigrant,Sage Plains,450000,2970,7A,False,district/neighborhood,Ospreys,High Plains League,new
Katya Moroz,Harriman,Emigrant,Sage Plains,450000,3850,7A,False,namesake,Condors,High Plains League,new
Naomi Price,Harriman,Emigrant,Sage Plains,450000,2832,7A,False,namesake,Grizzlies,High Plains League,new
St. Casimir,Harriman,Emigrant,Sage Plains,450000,2763,7A,True,private/independent,Pilots,High Plains League,new
St. Michael Academy,Harriman,Emigrant,Sage Plains,450000,2970,7A,True,private/independent,Spartans,High Plains League,new
St. Teresa,Harriman,Emigrant,Sage Plains,450000,2077,5A,True,private/independent,Pilots,High Plains League,new
Fort Valois,Fort Valois,Stagewater,Sage Plains,200000,2265,6A,False,city flagship,Trojans,I-50 Plains Conference,new
Fort Valois North,Fort Valois,Stagewater,Sage Plains,200000,2459,6A,False,magnet/technical,Grizzlies,I-50 Plains Conference,new
Fort Valois Public Service,Fort Valois,Stagewater,Sage Plains,200000,2436,6A,False,magnet/technical,Eagles,I-50 Plains Conference,new
Galina Romanov,Fort Valois,Stagewater,Sage Plains,200000,2560,6A,False,namesake,Trojans,I-50 Plains Conference,new
Lev Voronin,Fort Valois,Stagewater,Sage Plains,200000,2332,6A,False,namesake,Steelheads,I-50 Plains Conference,new
Fort Valois Heights,Fort Valois,Stagewater,Sage Plains,200000,2349,6A,False,namesake,Mustangs,I-50 Plains Conference,new
Bahía Leal,Bahía Leal,San Marcos,South Coast,180000,1664,4A,False,city flagship,Bears,Bahía Athletic Conference,new
Housatonic,Bahía Leal,San Marcos,South Coast,180000,2403,6A,False,district/neighborhood,Engineers,Bahía Athletic Conference,new
Costa Verde,Bahía Leal,San Marcos,South Coast,180000,2635,7A,False,district/neighborhood,Firebirds,Bahía Athletic Conference,new
Isabel Lucero,Bahía Leal,San Marcos,South Coast,180000,1796,4A,False,namesake,Comets,Bahía Athletic Conference,new
James Gaines,Bahía Leal,San Marcos,South Coast,180000,2559,6A,False,namesake,Coyotes,Bahía Athletic Conference,new
Manuel Robles,Bahía Leal,San Marcos,South Coast,180000,1902,5A,False,namesake,Engineers,Bahía Athletic Conference,new
Alejandro Zamora,Puerto de los Reyes,San Marcos,South Coast,280000,2365,6A,False,namesake,Marlins,Costa Norte League,new
César Peralta,Puerto de los Reyes,San Marcos,South Coast,280000,1967,5A,False,namesake,Hawks,Costa Norte League,new
Janice Cole,Puerto de los Reyes,San Marcos,South Coast,280000,1488,4A,False,namesake,Bison,Costa Norte League,new
Archbishop Gregory,Puerto de los Reyes,San Marcos,South Coast,280000,2123,5A,False,namesake,Ravens,Costa Norte League,new
Puerto de los Reyes,Puerto de los Reyes,San Marcos,South Coast,280000,2193,5A,False,city flagship,Railers,Costa Norte League,new
Puerto de los Reyes Civic Leadership Academy,Puerto de los Reyes,San Marcos,South Coast,280000,2281,6A,False,magnet/technical,Knights,Costa Norte League,new
Puerto de los Reyes North,Puerto de los Reyes,San Marcos,South Coast,280000,1748,4A,False,magnet/technical,Bears,Costa Norte League,new
Puerto de los Reyes South,Puerto de los Reyes,San Marcos,South Coast,280000,1878,5A,False,magnet/technical,Ravens,Costa Norte League,new
Rosa Salcedo,Puerto de los Reyes,San Marcos,South Coast,280000,1990,5A,False,namesake,Spartans,Costa Norte League,new
Sofía Aranda,Puerto de los Reyes,San Marcos,South Coast,280000,2128,5A,False,namesake,Condors,Costa Norte League,new
Copperview Polytechnic Institute,Copperview,San Marcos,South Coast,14539,523,1A,False,magnet/technical,Marlins,Humboldt Bay League,new
Los Remolinos,Los Remolinos,San Marcos,South Coast,12000,504,1A,False,city flagship,Jaguars,Humboldt Bay League,new
Los Remolinos Mission Bay,Los Remolinos,San Marcos,South Coast,12000,360,1A,False,district/neighborhood,Owls,Humboldt Bay League,new
Amelia Whitaker,Puerto Gallego,San Marcos,South Coast,55000,1554,4A,False,namesake,Bison,Humboldt Bay League,new
Puerto Gallego,Puerto Gallego,San Marcos,South Coast,55000,1455,4A,False,city flagship,Engineers,Humboldt Bay League,new
Puerto Gallego Science,Puerto Gallego,San Marcos,South Coast,55000,951,2A,False,magnet/technical,Pelicans,Humboldt Bay League,new
Alejandro Salcedo,Punta del Águila,San Marcos,South Coast,18000,763,2A,False,namesake,Eagles,Humboldt Bay League,new
Punta del Águila,Punta del Águila,San Marcos,South Coast,18000,533,1A,False,city flagship,Foxes,Humboldt Bay League,new
San Benicio,San Benicio,San Marcos,South Coast,5000,360,1A,False,city flagship,Pioneers,Humboldt Bay League,new
Harlan Cole,Santa Cruz del Norte,San Marcos,South Coast,95000,1956,5A,False,namesake,Sentinels,Humboldt Bay League,new
Santa Cruz del Norte,Santa Cruz del Norte,San Marcos,South Coast,95000,1876,5A,False,city flagship,Stags,Humboldt Bay League,new
Winifred Ellison,Santa Cruz del Norte,San Marcos,South Coast,95000,1331,3A,False,namesake,Railers,Humboldt Bay League,new
Winifred Stokes,Santa Cruz del Norte,San Marcos,South Coast,95000,1676,4A,False,namesake,Jaguars,Humboldt Bay League,new
Our Lady of the Coast,Tallow,San Marcos,South Coast,14511,522,1A,False,namesake,Bison,Humboldt Bay League,new
Adela Robles,San Borondón,San Marcos,South Coast,850000,2883,7A,False,namesake,Railers,Mission Coast League,new
Claudette Cole,San Borondón,San Marcos,South Coast,850000,3482,7A,False,namesake,Bison,Mission Coast League,new
Daniel Gaines,San Borondón,San Marcos,South Coast,850000,3657,7A,False,namesake,Mavericks,Mission Coast League,new
Elena Petrov,San Borondón,San Marcos,South Coast,850000,2475,6A,False,namesake,Steelheads,Mission Coast League,new
Harold Williams,San Borondón,San Marcos,South Coast,850000,2607,7A,False,namesake,Bears,Mission Coast League,new
Mission Bay,San Borondón,San Marcos,South Coast,850000,2522,6A,False,district/neighborhood,Grizzlies,Mission Coast League,new
St. Sophia Preparatory,San Borondón,San Marcos,South Coast,850000,2139,5A,True,private/independent,Sentinels,Mission Coast League,new
Tatiana Chernov,San Borondón,San Marcos,South Coast,850000,2667,7A,False,namesake,Knights,Mission Coast League,new
Cardinal Mercier,San Borondón,San Marcos,South Coast,850000,3077,7A,False,namesake,Ospreys,Mission Coast League,new
San Borondón Heights,San Borondón,San Marcos,South Coast,850000,2210,6A,False,namesake,Owls,Pacifica Conference,new
Las Palmas,San Borondón,San Marcos,South Coast,850000,3735,7A,False,district/neighborhood,Vikings,Pacifica Conference,new
Naomi Langston,San Borondón,San Marcos,South Coast,850000,2869,7A,False,namesake,Steelheads,Pacifica Conference,new
Christian Brothers,San Borondón,San Marcos,South Coast,850000,3443,7A,False,namesake,Stags,Pacifica Conference,new
St. Jerome Academy,San Borondón,San Marcos,South Coast,850000,1704,4A,True,private/independent,Pilots,Pacifica Conference,new
St. Nicholas College Prep,San Borondón,San Marcos,South Coast,850000,1572,4A,True,private/independent,Bears,Pacifica Conference,new
George Nakashima,San Borondón,San Marcos,South Coast,850000,2253,6A,False,namesake,Hawks,Redwood Coast Conference,new
Redwood Coast,San Borondón,San Marcos,South Coast,850000,2575,6A,False,district/neighborhood,Mavericks,Redwood Coast Conference,new
San Borondón,San Borondón,San Marcos,South Coast,850000,3089,7A,False,city flagship,Pelicans,Redwood Coast Conference,new
San Borondón North,San Borondón,San Marcos,South Coast,850000,3064,7A,False,magnet/technical,Spartans,Redwood Coast Conference,new
San Borondón Civic Academy,San Borondón,San Marcos,South Coast,850000,1685,4A,True,private/independent,Pelicans,Redwood Coast Conference,new
San Borondón Country Day,San Borondón,San Marcos,South Coast,850000,1809,5A,True,private/independent,Loggers,Redwood Coast Conference,new
San Borondón South,San Borondón,San Marcos,South Coast,850000,2109,5A,False,magnet/technical,Jaguars,Redwood Coast Conference,new
Sergei Belov,San Borondón,San Marcos,South Coast,850000,2136,5A,False,namesake,Falcons,Redwood Coast Conference,new
St. Casimir Preparatory,San Borondón,San Marcos,South Coast,850000,1437,4A,True,private/independent,Pilots,Redwood Coast Conference,new
St. Helena,Aspen Meadows,Antler,Timber Valley,18574,669,2A,True,private/independent,Miners,Umpqua Valley League,new
Black Springs Classical Academy,Black Springs,Antler,Timber Valley,22142,797,2A,False,magnet/technical,Foxes,Umpqua Valley League,new
Gabriel Villaseñor,Blackpine,Antler,Timber Valley,82218,1656,4A,False,namesake,Wolves,Umpqua Valley League,new
Svenja Adler,Blackpine,Antler,Timber Valley,82218,1304,3A,False,namesake,Bison,Umpqua Valley League,new
Calvary Christian,Netherwood,Antler,Timber Valley,33052,793,2A,False,namesake,Pioneers,Umpqua Valley League,new
Mill Creek,Tamarack Flat,Antler,Timber Valley,20129,725,2A,False,district/neighborhood,Pioneers,Umpqua Valley League,new
Corey Canyon International,Corey Canyon,Antler,Timber Valley,14653,528,1A,False,magnet/technical,Owls,Umpqua Valley League,new
Astrid Bianchi,Yarburg,Antler,Timber Valley,12493,450,1A,False,namesake,Loggers,Umpqua Valley League,new
